Time;Acceleration;Position
2025/04/27_15:38:03;{'x': 0.7302315063476562, 'y': 2.2577321655273437, 'z': 9.473855969238281};(8.7432088, 48.0751546, 730338)
2025/04/27_15:38:04;{'x': 0.6153098266601562, 'y': 2.1978771240234374, 'z': 9.481038574218749};(8.7432088, 48.0751546, 730338)
2025/04/27_15:38:05;{'x': 0.6751648681640625, 'y': 2.1715409057617188, 'z': 9.366116894531249};(8.7432154, 48.0751548, 730650)
2025/04/27_15:38:06;{'x': 0.6943184814453125, 'y': 2.2098481323242187, 'z': 9.516951599121093};(8.7432154, 48.0751548, 730650)
2025/04/27_15:38:07;{'x': 0.7278373046875, 'y': 2.1715409057617188, 'z': 9.447519750976562};(8.743214199999999, 48.075154999999995, 731062)
2025/04/27_15:38:08;{'x': 0.7254431030273437, 'y': 2.212242333984375, 'z': 9.469067565917967};(8.743214199999999, 48.075154999999995, 731062)
2025/04/27_15:39:03;{'x': 0.6919242797851562, 'y': 2.1835119140624997, 'z': 9.507374792480467};(8.7433224, 48.0751923, 735330)
2025/04/27_15:39:04;{'x': 0.6727706665039062, 'y': 2.195482922363281, 'z': 9.428366137695312};(8.743315899999999, 48.0751912, 735277)
2025/04/27_15:39:05;{'x': 0.7350199096679687, 'y': 2.291250988769531, 'z': 9.629479077148437};(8.7433075, 48.0751875, 734885)
2025/04/27_15:40:06;{'x': 0.70868369140625, 'y': 2.2194249389648437, 'z': 9.449913952636718};(8.7433176, 48.0751345, 747090)
2025/04/27_15:40:07;{'x': 0.7110778930664062, 'y': 2.1691467041015624, 'z': 9.56962403564453};(8.7433201, 48.075137, 747494)
2025/04/27_15:40:08;{'x': 0.7852981445312499, 'y': 2.2098481323242187, 'z': 9.404424121093749};(8.743322299999999, 48.0751431, 748116)
2025/04/27_15:40:09;{'x': 0.6727706665039062, 'y': 2.2002713256835937, 'z': 9.449913952636718};(8.743322299999999, 48.0751431, 748116)
2025/04/27_15:40:10;{'x': 0.7230489013671875, 'y': 2.1811177124023438, 'z': 9.5001921875};(8.7433214, 48.0751407, 748000)
2025/04/27_15:40:11;{'x': 0.6727706665039062, 'y': 2.1978771240234374, 'z': 9.351751684570312};(8.7433214, 48.0751407, 748000)
2025/04/27_15:40:12;{'x': 0.7398083129882812, 'y': 2.252943762207031, 'z': 9.524134204101562};(8.7433249, 48.0751354, 747983)
2025/04/27_15:40:13;{'x': 0.7230489013671875, 'y': 2.185906115722656, 'z': 9.488221179199218};(8.7433249, 48.0751354, 747983)
2025/04/27_15:40:15;{'x': 0.7493851196289062, 'y': 2.185906115722656, 'z': 9.514557397460937};(8.7433249, 48.0751354, 747983)
2025/04/27_15:40:16;{'x': 0.7278373046875, 'y': 2.152387292480469, 'z': 9.495403784179686};(8.7433249, 48.0751354, 747983)
2025/04/27_15:40:17;{'x': 0.7302315063476562, 'y': 2.1811177124023438, 'z': 9.483432775878907};(8.7433249, 48.0751354, 747983)
2025/04/27_15:40:18;{'x': 0.7015010864257812, 'y': 2.1883003173828124, 'z': 9.502586389160156};(8.7433249, 48.0751354, 747983)
